geoid,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
01001,15,1,10.6,1
01005,19,3,21.9,1
01007,20,2,,1
01009,11,1,14.1,1
01011,22,4,25.6,1
01013,19,3,21.0,1
01015,15,2,17.4,1
01017,15,1,,1
01019,15,2,,1
01023,14,1,19.5,1
01025,20,2,20.5,1
01027,11,1,16.5,1
01029,14,1,13.1,1
01031,13,1,17.6,1
01033,17,1,16.8,1
01035,14,1,27.6,1
01037,14,1,11.6,1
01039,15,1,18.0,1
01041,11,1,16.1,1
01043,12,1,13.9,1
01045,18,1,18.7,1
01047,21,2,29.0,1
01049,15,2,20.3,1
01051,19,5,10.2,1
01053,19,3,21.2,1
01055,20,2,17.1,1
01057,11,1,18.6,1
01059,15,1,17.3,1
01061,13,1,19.0,1
01063,21,1,35.9,1
01065,22,3,23.8,1
01067,12,1,15.7,1
01071,19,2,16.7,1
01073,24,5,16.3,1
01075,16,1,15.0,1
01077,12,1,13.6,1
01079,16,1,13.7,1
01081,16,1,18.8,1
01085,16,1,29.5,1
01087,19,2,22.0,1
01089,18,3,,1
01091,17,1,22.5,1
01093,15,1,16.8,1
01095,13,1,16.2,1
01097,20,4,,1
01099,17,1,22.6,1
01101,20,3,19.2,1
01103,8,1,13.5,1
01107,21,2,22.5,1
01109,19,2,23.4,1
01111,15,1,18.3,1
01113,19,1,22.2,1
01119,22,2,28.1,1
01121,20,3,17.6,1
01123,14,1,,1
01125,22,1,,1
01127,19,1,,1
01129,16,1,18.4,1
01131,23,2,29.0,1
02013,15,7,12.4,1
02016,11,8,9.2,1
02020,15,20,8.1,1
02050,20,44,24.0,1
02060,7,6,9.6,1
02063,9,5,,1
02066,12,10,,1
02068,11,3,6.5,1
02070,19,16,,1
02090,15,7,8.1,1
02100,12,4,8.2,1
02105,9,7,8.2,1
02110,15,9,7.6,1
02122,16,17,12.0,1
02130,18,3,,1
02150,9,9,,1
02158,19,16,31.2,1
02164,15,14,16.5,1
02170,18,9,,1
02180,20,18,,1
02185,17,9,8.3,1
02188,20,15,,1
02195,5,2,,1
02198,18,14,,1
02220,9,4,8.2,1
02230,9,2,8.2,1
02240,16,7,,1
02261,3,1,,1
02275,7,3,,1
02282,9,3,8.2,1
02290,16,35,,1
04001,20,30,34.8,1
04003,19,48,26.6,1
04005,20,53,34.8,1
04007,20,24,44.0,1
04009,21,16,44.0,1
04011,18,3,10.7,1
04012,18,19,28.3,1
04013,21,304,43.8,1
04015,19,71,49.7,1
04017,20,34,41.5,1
04019,21,131,43.8,1
04021,21,110,33.5,1
04023,21,15,25.7,1
04025,19,55,15.3,1
04027,18,70,21.3,1
05001,16,1,,1
05003,17,1,22.7,1
05005,15,2,14.4,1
05007,14,1,,1
05009,13,1,13.4,1
05011,16,1,20.0,1
05013,18,2,13.3,1
05015,17,1,16.2,1
05017,20,3,24.3,1
05019,19,3,20.1,1
05021,17,3,17.2,1
05023,17,3,13.8,1
05025,18,2,15.5,1
05027,19,1,22.6,1
05029,10,1,20.5,1
05031,19,2,19.0,1
05033,15,2,16.7,1
05035,18,2,20.7,1
05037,17,1,20.0,1
05039,17,2,11.1,1
05041,22,3,28.9,1
05043,21,2,22.7,1
05045,15,2,15.0,1
05047,18,2,18.8,1
05049,17,3,14.7,1
05053,18,2,12.3,1
05055,15,1,17.0,1
05057,20,2,18.9,1
05059,15,3,17.0,1
05061,13,2,19.7,1
05063,18,2,19.6,1
05065,18,2,21.0,1
05067,16,4,21.2,1
05069,24,7,20.5,1
05071,15,3,19.3,1
05073,21,2,27.2,1
05075,16,1,,1
05077,20,3,27.7,1
05079,21,3,17.6,1
05081,19,1,,1
05083,17,5,14.4,1
05085,15,1,,1
05087,12,1,15.0,1
05089,17,2,17.8,1
05091,19,1,21.0,1
05093,19,3,21.0,1
05095,14,1,,1
05097,15,1,20.8,1
05099,18,1,28.5,1
05101,15,1,13.3,1
05103,19,3,17.8,1
05105,18,2,15.6,1
05107,14,1,28.7,1
05109,12,1,18.8,1
05111,19,3,20.0,1
05113,20,3,18.9,1
05115,11,1,17.5,1
05117,16,1,9.3,1
05119,16,2,16.2,1
05123,15,2,,1
05127,14,3,17.2,1
05129,19,3,24.5,1
05131,15,1,16.2,1
05133,12,1,19.6,1
05135,16,4,17.3,1
05137,16,1,21.5,1
05139,16,2,19.4,1
05141,18,1,19.5,1
05143,19,3,14.7,1
05145,16,1,,1
05147,21,2,22.7,1
05149,16,2,13.2,1
06001,20,13,,1
06003,10,1,12.3,1
06005,17,2,,1
06007,17,7,18.7,1
06009,17,3,,1
06011,15,2,,1
06013,21,2,,1
06015,20,5,,1
06017,20,24,11.3,1
06019,24,72,38.7,1
06021,17,7,17.4,1
06023,20,6,,1
06025,20,7,,1
06027,18,3,,1
06029,21,68,18.9,1
06031,19,39,25.7,1
06033,18,20,24.7,1
06035,20,5,,1
06037,21,302,26.8,1
06039,16,4,,1
06041,20,3,,1
06043,19,9,13.8,1
06045,17,14,27.8,1
06047,20,7,25.6,1
06049,17,5,20.2,1
06051,13,1,,1
06053,20,47,16.6,1
06055,19,1,,1
06057,18,2,,1
06059,19,60,15.7,1
06061,18,2,8.9,1
06063,20,11,13.7,1
06065,19,48,17.5,1
06067,19,7,,1
06069,20,4,,1
06071,19,120,28.7,1
06073,20,77,24.4,1
06075,16,8,,1
06077,19,62,21.1,1
06079,17,1,,1
06081,9,3,,1
06083,18,31,15.0,1
06085,16,13,,1
06087,16,3,,1
06089,18,11,17.8,1
06091,16,1,,1
06093,19,19,14.7,1
06095,19,1,,1
06097,20,7,,1
06099,16,13,11.9,1
06101,18,4,22.7,1
06103,17,23,19.6,1
06105,17,7,15.7,1
06107,21,48,22.2,1
06109,18,12,,1
06111,18,2,,1
06113,18,4,,1
06115,18,3,,1
08001,16,58,19.4,1
08003,23,1,,1
08005,17,8,19.4,1
08007,14,2,8.3,1
08009,21,2,24.0,1
08011,18,1,24.0,1
08013,18,17,33.8,1
08015,17,3,7.4,1
08017,15,3,11.4,1
08019,17,1,6.8,1
08021,18,2,13.7,1
08023,22,1,22.3,1
08025,18,2,24.0,1
08027,14,1,9.6,1
08029,17,1,14.2,1
08031,19,44,19.4,1
08033,17,1,18.7,1
08039,16,3,11.1,1
08041,12,30,17.1,1
08043,17,7,13.9,1
08045,16,4,8.4,1
08047,16,1,9.9,1
08049,19,4,,1
08051,14,1,,1
08053,6,1,,1
08055,15,1,17.5,1
08057,8,1,18.2,1
08059,20,8,17.7,1
08061,9,2,12.7,1
08063,14,1,9.1,1
08065,16,2,7.2,1
08067,21,2,,1
08069,15,23,25.8,1
08071,18,2,17.3,1
08073,16,5,11.1,1
08075,12,2,13.0,1
08077,20,1,,1
08079,7,1,13.0,1
08081,17,2,11.6,1
08083,19,5,13.2,1
08085,16,8,13.3,1
08087,14,3,12.2,1
08089,18,2,24.0,1
08093,16,1,7.2,1
08095,12,1,15.7,1
08099,17,2,17.1,1
08101,21,2,,1
08105,20,3,14.9,1
08107,22,2,6.4,1
08109,19,1,17.6,1
08111,7,1,16.8,1
08113,15,2,11.6,1
08115,15,2,14.5,1
08117,21,1,,1
08121,15,1,7.6,1
08123,18,3,14.4,1
08125,13,1,14.9,1
09001,12,14,13.8,1
09003,13,5,16.2,1
09011,13,4,13.5,1
09110,21,12,25.4,1
09120,19,2,,1
09130,21,10,14.6,1
09140,21,8,23.9,1
09150,8,1,8.5,1
09160,20,2,9.1,1
09170,19,4,21.3,1
09180,21,13,22.3,1
09190,18,29,14.8,1
10001,16,1,11.2,1
10003,21,82,15.5,1
10005,21,3,11.3,1
11001,22,156,34.3,1
12001,18,5,19.6,1
12003,17,4,13.0,1
12005,13,2,11.6,1
12007,16,5,19.0,1
12009,19,3,11.5,1
12011,22,3,,1
12013,13,2,21.2,1
12015,3,1,,1
12017,15,5,15.5,1
12019,17,5,15.7,1
12021,18,2,,1
12023,17,5,17.0,1
12027,18,2,23.0,1
12029,18,3,19.2,1
12031,23,47,20.1,1
12033,17,3,14.4,1
12037,18,4,17.3,1
12039,19,3,27.6,1
12041,12,2,11.1,1
12043,17,2,21.1,1
12045,14,2,11.6,1
12047,24,3,27.3,1
12049,18,4,24.2,1
12051,16,4,21.5,1
12053,6,1,,1
12055,16,4,15.3,1
12057,21,5,15.3,1
12059,12,2,14.3,1
12061,17,2,,1
12063,12,4,,1
12065,16,2,20.3,1
12067,17,3,17.7,1
12069,16,11,12.2,1
12071,19,1,,1
12073,24,7,18.5,1
12075,16,4,17.1,1
12077,21,2,20.8,1
12079,22,3,20.9,1
12081,17,1,,1
12083,18,10,,1
12085,10,2,12.8,1
12086,21,40,25.9,1
12087,15,1,,1
12089,11,1,12.1,1
12091,8,6,10.9,1
12093,15,2,19.0,1
12095,19,3,,1
12097,19,1,,1
12099,21,15,29.0,1
12101,19,1,,1
12103,19,33,15.0,1
12105,20,5,,1
12107,19,3,23.8,1
12109,17,5,17.3,1
12111,11,1,11.6,1
12113,16,9,13.8,1
12115,19,1,,1
12117,19,1,,1
12119,19,15,19.8,1
12121,17,5,14.1,1
12123,19,5,17.3,1
12125,15,1,18.6,1
12127,21,4,12.2,1
12129,17,3,5.5,1
12131,17,5,15.4,1
12133,13,2,18.9,1
13003,21,1,25.0,1
13005,17,1,20.9,1
13007,16,1,29.4,1
13009,21,2,21.9,1
13011,17,1,12.8,1
13017,20,1,25.7,1
13019,14,1,22.0,1
13021,22,3,24.8,1
13025,15,1,16.9,1
13027,17,1,25.3,1
13035,6,1,,1
13037,22,3,22.7,1
13043,20,1,,1
13047,18,1,,1
13051,21,3,,1
13055,18,2,20.0,1
13059,21,2,25.8,1
13065,22,1,22.8,1
13067,20,2,,1
13069,19,1,19.7,1
13071,21,3,,1
13081,24,1,,1
13083,21,2,8.5,1
13087,22,1,24.8,1
13089,24,6,,1
13091,19,3,22.1,1
13093,21,1,,1
13095,24,1,,1
13099,24,1,,1
13101,12,1,12.3,1
13105,21,1,20.6,1
13107,23,2,,1
13111,21,2,12.0,1
13115,18,1,16.8,1
13117,21,1,,1
13119,18,1,20.3,1
13121,24,6,,1
13123,16,1,14.7,1
13127,24,3,16.3,1
13129,16,1,12.9,1
13131,19,1,20.5,1
13133,24,1,,1
13135,20,2,,1
13137,16,2,13.6,1
13141,21,2,31.5,1
13147,17,1,11.4,1
13149,19,1,18.6,1
13155,22,2,18.1,1
13161,14,1,26.6,1
13163,21,3,,1
13165,16,1,23.5,1
13167,24,2,,1
13175,19,1,22.4,1
13177,18,2,7.0,1
13179,22,1,,1
13185,19,2,20.3,1
13187,16,1,15.6,1
13189,20,1,19.0,1
13191,22,1,22.4,1
13193,19,3,25.5,1
13195,21,1,,1
13197,15,1,16.9,1
13201,22,2,24.0,1
13205,21,4,25.5,1
13207,12,1,,1
13209,15,1,,1
13213,16,1,13.0,1
13215,24,3,18.8,1
13225,18,1,,1
13227,19,1,,1
13229,18,1,13.1,1
13233,17,1,19.3,1
13235,20,3,18.3,1
13237,18,1,18.6,1
13239,19,1,15.4,1
13241,15,2,14.8,1
13243,17,1,26.8,1
13245,21,2,,1
13247,15,1,10.7,1
13253,24,2,18.9,1
13255,21,1,18.7,1
13257,17,1,13.9,1
13259,24,3,27.2,1
13261,18,1,22.6,1
13263,18,1,21.6,1
13265,10,1,21.3,1
13267,19,4,22.7,1
13269,16,1,29.3,1
13271,22,1,31.0,1
13275,20,1,17.8,1
13279,20,1,19.7,1
13281,15,1,12.8,1
13285,18,1,18.5,1
13287,22,1,21.5,1
13289,20,1,14.9,1
13291,17,1,10.3,1
13293,19,1,21.3,1
13295,16,2,13.8,1
13299,22,2,,1
13303,12,1,,1
13305,20,2,20.5,1
13307,15,1,27.2,1
13309,19,1,21.4,1
13313,16,1,13.7,1
13315,16,2,23.1,1
13319,20,1,20.2,1
13321,21,2,20.1,1
15001,21,10,14.5,1
15003,21,44,14.2,1
15007,11,2,8.8,1
15009,21,7,9.8,1
16001,16,4,,1
16003,13,1,,1
16005,19,3,12.1,1
16007,16,3,10.1,1
16009,19,4,14.9,1
16011,20,7,10.9,1
16015,14,1,8.1,1
16017,12,2,10.7,1
16019,7,1,8.6,1
16021,13,3,17.1,1
16023,15,2,21.3,1
16025,8,1,6.6,1
16027,17,3,10.1,1
16029,14,1,7.2,1
16031,14,1,10.2,1
16033,7,1,12.7,1
16035,16,3,12.5,1
16037,16,3,11.5,1
16039,16,3,12.3,1
16041,6,1,8.3,1
16043,21,2,9.7,1
16047,17,2,15.3,1
16049,15,3,10.8,1
16051,14,1,9.2,1
16053,14,3,13.9,1
16055,17,1,,1
16057,16,6,15.2,1
16059,15,2,11.7,1
16061,13,2,17.3,1
16063,16,1,9.3,1
16065,17,1,26.8,1
16067,14,2,14.8,1
16069,17,2,13.1,1
16071,16,2,11.8,1
16073,13,1,13.3,1
16075,21,3,,1
16077,16,2,8.1,1
16079,16,2,15.0,1
16081,16,2,,1
16083,18,3,10.7,1
16085,14,3,11.0,1
16087,16,2,15.3,1
17001,16,7,12.4,1
17003,21,1,21.0,1
17005,16,3,12.6,1
17009,16,3,,1
17011,16,2,12.2,1
17013,16,2,5.8,1
17015,21,2,13.6,1
17017,21,3,13.8,1
17019,22,2,18.0,1
17021,18,1,11.1,1
17023,15,2,9.4,1
17025,16,5,16.7,1
17027,16,3,7.5,1
17029,16,1,18.3,1
17031,21,331,54.5,1
17033,16,4,,1
17037,17,1,15.9,1
17039,15,1,,1
17043,19,1,,1
17045,17,1,11.8,1
17047,16,2,15.1,1
17049,16,1,10.6,1
17051,17,1,16.4,1
17053,15,1,12.6,1
17055,21,4,16.9,1
17057,12,2,12.6,1
17059,12,1,15.5,1
17061,17,7,14.2,1
17065,17,3,12.5,1
17067,17,6,,1
17069,16,2,10.5,1
17071,19,2,11.5,1
17073,14,1,8.0,1
17075,16,7,13.3,1
17077,22,4,21.8,1
17081,17,2,14.1,1
17083,14,4,,1
17087,15,1,,1
17089,19,1,,1
17091,10,1,12.5,1
17095,19,4,15.8,1
17097,21,1,,1
17099,16,4,13.4,1
17101,16,4,14.6,1
17103,8,2,11.7,1
17105,16,2,,1
17107,6,1,,1
17109,17,2,19.9,1
17113,17,1,,1
17115,22,2,14.6,1
17117,20,2,14.3,1
17121,17,1,16.1,1
17123,9,1,11.7,1
17125,9,1,14.0,1
17127,18,4,14.9,1
17131,14,1,7.8,1
17135,17,2,13.7,1
17137,15,1,12.5,1
17141,8,1,8.9,1
17143,19,3,15.4,1
17145,17,3,16.9,1
17149,16,5,15.2,1
17151,18,1,14.3,1
17153,20,1,26.1,1
17155,11,1,12.2,1
17157,16,3,,1
17159,16,1,,1
17161,18,1,15.4,1
17163,23,1,,1
17165,19,5,17.1,1
17167,22,2,,1
17169,16,2,13.8,1
17171,18,1,10.5,1
17173,11,1,9.9,1
17175,12,1,12.0,1
17179,12,1,,1
17181,19,3,19.3,1
17183,19,5,17.2,1
17185,18,2,15.1,1
17187,16,3,12.8,1
17189,15,1,7.8,1
17191,16,2,13.8,1
17193,18,3,16.3,1
17195,18,2,,1
17197,17,1,,1
17199,21,7,14.2,1
17201,22,2,16.0,1
17203,16,4,7.6,1
18001,16,5,12.4,1
18003,20,74,22.2,1
18009,17,1,17.4,1
18017,14,2,12.7,1
18019,17,2,,1
18021,14,2,10.6,1
18023,16,1,8.5,1
18025,11,1,16.9,1
18027,11,1,10.4,1
18031,16,1,,1
18035,19,3,19.9,1
18039,19,3,12.5,1
18041,17,1,16.7,1
18045,10,1,12.4,1
18047,8,1,8.5,1
18049,12,1,12.6,1
18051,19,5,,1
18053,16,1,18.8,1
18055,18,1,,1
18057,19,1,,1
18063,12,2,,1
18065,14,2,13.0,1
18067,10,1,12.5,1
18069,12,5,14.0,1
18075,7,1,13.1,1
18077,10,2,11.2,1
18079,14,1,12.4,1
18081,19,2,,1
18083,16,2,13.3,1
18085,18,1,,1
18087,7,1,5.7,1
18089,19,6,27.0,1
18091,15,3,14.0,1
18093,8,1,11.2,1
18095,17,3,12.9,1
18097,23,17,24.5,1
18101,16,1,16.4,1
18103,13,2,15.1,1
18105,19,2,20.1,1
18107,16,2,11.9,1
18111,11,1,13.5,1
18113,12,1,8.5,1
18115,11,1,8.9,1
18117,19,2,16.9,1
18119,10,1,11.9,1
18121,16,2,17.1,1
18123,18,2,12.8,1
18125,14,3,12.2,1
18127,21,3,,1
18131,12,1,11.8,1
18133,12,2,8.0,1
18135,15,3,15.0,1
18141,12,1,14.5,1
18147,11,1,6.6,1
18149,18,2,14.8,1
18151,8,1,8.8,1
18153,6,1,,1
18157,19,4,19.0,1
18161,14,1,6.4,1
18163,18,2,14.3,1
18165,16,2,13.2,1
18167,19,4,20.0,1
18169,16,2,10.7,1
18171,9,1,12.7,1
18175,10,1,13.4,1
18177,19,2,16.8,1
18181,12,1,9.9,1
19001,11,1,10.3,1
19003,14,2,9.5,1
19005,15,1,12.0,1
19007,15,2,20.4,1
19009,15,2,,1
19011,14,5,7.8,1
19013,17,2,14.7,1
19017,14,3,,1
19019,13,2,7.0,1
19021,18,2,8.2,1
19023,14,2,10.6,1
19025,13,1,,1
19029,16,20,17.4,1
19031,11,1,7.2,1
19033,10,1,,1
19035,10,1,15.2,1
19037,15,2,7.0,1
19039,16,1,13.7,1
19043,15,4,13.6,1
19047,16,1,16.3,1
19049,15,3,11.3,1
19051,9,1,7.1,1
19053,16,2,15.2,1
19055,15,4,,1
19057,21,2,14.1,1
19061,16,11,15.9,1
19065,15,1,12.4,1
19067,15,1,11.3,1
19069,17,2,15.0,1
19071,14,2,,1
19073,15,1,10.4,1
19077,15,1,,1
19079,16,4,7.9,1
19081,10,1,,1
19085,14,4,,1
19087,15,4,12.0,1
19091,13,1,13.6,1
19093,16,1,,1
19097,7,1,10.3,1
19099,12,4,11.8,1
19101,15,2,14.5,1
19103,17,23,24.8,1
19105,12,2,10.4,1
19107,16,2,11.9,1
19109,9,1,9.6,1
19111,16,2,13.0,1
19113,16,1,,1
19115,16,3,9.8,1
19117,15,2,16.4,1
19123,16,1,11.8,1
19127,16,1,11.0,1
19131,15,4,6.8,1
19133,16,2,11.2,1
19137,16,2,,1
19139,16,3,23.4,1
19141,13,2,,1
19145,14,3,13.4,1
19147,13,3,,1
19151,14,1,8.7,1
19153,19,67,14.6,1
19155,11,17,9.1,1
19157,7,1,11.1,1
19161,14,3,7.9,1
19163,21,33,16.5,1
19165,13,4,,1
19167,16,1,,1
19169,17,1,18.5,1
19171,17,2,15.3,1
19173,16,3,10.3,1
19177,15,5,12.2,1
19179,18,3,16.7,1
19183,15,3,12.8,1
19185,14,1,15.0,1
19187,16,5,11.7,1
19189,15,1,9.8,1
19193,19,2,13.3,1
19197,15,3,14.7,1
20001,14,2,13.1,1
20003,15,2,10.9,1
20005,9,2,12.7,1
20007,16,3,17.6,1
20009,19,2,14.7,1
20011,15,1,11.7,1
20013,17,3,14.2,1
20015,6,1,,1
20017,13,1,10.5,1
20019,16,3,16.8,1
20023,20,3,17.4,1
20025,13,1,,1
20029,14,2,10.1,1
20035,19,5,13.8,1
20037,21,2,20.8,1
20039,14,1,12.9,1
20045,19,3,15.2,1
20047,10,2,16.4,1
20049,16,3,16.7,1
20051,10,3,17.7,1
20055,18,1,,1
20057,13,1,,1
20061,17,2,19.2,1
20063,14,1,4.0,1
20065,15,1,11.2,1
20067,11,1,,1
20069,13,1,6.9,1
20071,12,1,,1
20073,16,2,14.8,1
20077,17,3,15.2,1
20079,8,1,,1
20085,18,3,,1
20089,16,1,12.8,1
20091,18,1,,1
20099,17,3,,1
20103,12,1,,1
20105,8,1,11.8,1
20107,9,1,10.6,1
20111,18,2,,1
20115,13,1,10.0,1
20119,15,3,,1
20123,17,1,12.4,1
20125,17,8,16.2,1
20127,15,2,12.7,1
20129,15,2,,1
20133,15,6,15.4,1
20135,15,1,,1
20137,10,1,8.5,1
20141,13,2,12.4,1
20143,14,1,,1
20145,14,1,,1
20147,13,1,,1
20149,15,2,,1
20151,15,2,9.5,1
20153,14,2,10.0,1
20155,17,2,12.4,1
20161,15,1,22.0,1
20163,10,1,5.3,1
20165,12,1,,1
20167,11,1,,1
20169,17,2,12.3,1
20173,20,9,14.0,1
20175,13,1,12.9,1
20177,10,1,11.4,1
20179,13,1,,1
20181,14,1,,1
20185,10,1,10.8,1
20187,11,1,12.8,1
20189,14,1,15.2,1
20191,16,2,10.7,1
20199,17,2,12.8,1
20201,11,1,8.1,1
20203,0,1,,0
20205,13,2,15.7,1
20209,22,3,17.5,1
21001,17,1,18.0,1
21003,17,2,15.0,1
21005,16,2,12.4,1
21007,15,1,13.7,1
21009,16,1,21.0,1
21011,19,2,23.4,1
21013,19,3,27.1,1
21017,16,1,13.6,1
21019,18,2,17.7,1
21021,16,2,14.7,1
21023,18,1,20.1,1
21025,19,3,28.1,1
21027,10,1,21.3,1
21029,17,5,15.7,1
21031,15,1,18.5,1
21033,21,2,13.8,1
21035,17,1,17.2,1
21037,19,11,20.0,1
21039,9,1,16.6,1
21041,16,1,18.9,1
21043,18,2,19.5,1
21045,15,1,24.4,1
21047,17,5,17.2,1
21049,17,2,12.9,1
21051,21,7,31.7,1
21053,15,1,18.4,1
21055,18,2,18.1,1
21057,20,2,33.9,1
21059,22,1,,1
21061,17,2,16.8,1
21063,18,4,27.1,1
21065,18,3,21.9,1
21067,22,4,,1
21069,18,1,22.9,1
21071,23,4,26.6,1
21073,17,1,13.4,1
21075,21,1,25.6,1
21077,19,2,14.4,1
21079,18,3,17.0,1
21081,16,1,12.2,1
21083,16,1,20.5,1
21085,17,1,19.3,1
21087,18,1,21.4,1
21089,17,1,15.1,1
21091,16,2,15.8,1
21093,16,2,11.6,1
21095,21,3,27.2,1
21097,16,1,16.3,1
21099,17,4,21.2,1
21101,20,1,15.4,1
21103,17,2,15.4,1
21105,17,1,20.8,1
21107,18,1,19.1,1
21109,19,3,23.0,1
21111,22,113,35.0,1
21115,20,1,23.3,1
21119,9,1,25.9,1
21121,19,8,36.7,1
21123,19,1,18.8,1
21125,19,8,21.3,1
21127,17,1,21.9,1
21129,19,4,28.8,1
21131,19,2,27.3,1
21133,22,2,26.7,1
21135,21,2,22.6,1
21137,18,2,14.7,1
21139,18,3,18.8,1
21141,16,2,14.0,1
21143,15,1,10.6,1
21145,18,2,15.3,1
21147,21,5,35.1,1
21149,15,1,9.2,1
21151,21,5,15.8,1
21153,22,2,33.3,1
21155,18,3,19.5,1
21157,16,1,13.4,1
21159,20,2,29.2,1
21161,16,1,18.3,1
21163,12,1,13.7,1
21165,18,2,28.1,1
21167,9,1,14.7,1
21169,11,1,25.6,1
21171,20,1,22.2,1
21173,19,3,15.2,1
21175,19,2,18.2,1
21177,20,2,17.7,1
21179,16,6,9.4,1
21181,17,1,18.5,1
21183,14,1,13.0,1
21185,6,1,,1
21187,7,1,17.1,1
21189,20,2,24.8,1
21191,8,1,14.3,1
21193,22,3,25.5,1
21195,21,3,25.0,1
21197,18,2,21.7,1
21199,19,2,20.2,1
21201,19,1,27.4,1
21203,19,3,24.3,1
21205,17,1,24.5,1
21207,16,1,23.4,1
21211,14,4,13.1,1
21213,19,2,15.1,1
21215,14,2,8.7,1
21217,17,3,16.6,1
21219,16,4,21.6,1
21221,15,1,20.4,1
21223,17,2,15.4,1
21225,20,2,17.3,1
21227,21,2,16.7,1
21229,16,2,12.5,1
21231,20,3,24.3,1
21233,21,4,13.9,1
21235,22,8,25.0,1
21237,19,3,38.0,1
22001,15,1,24.3,1
22003,18,9,20.4,1
22005,15,4,34.0,1
22007,18,3,13.9,1
22009,22,10,27.3,1
22011,15,12,14.1,1
